研究问题,方法,数据来源,实验设计,预期结果,结论边界,对应任务,阶段
RQ1a: 无GHG标签长期运行数据是否帮助GHG预测,OAKI-PL多任务部分标签学习,BSM2G仿真数据+人工掩蔽,"掩蔽20%/40%/60%/80%/90%/95% GHG标签; 对照完整标签基线","部分标签条件下RMSE相比无辅助任务基线降低X%",仅在BSM2G仿真域有效;不代表真实GHG预测,T045/T051,A
RQ1b: 哪些辅助任务产生正迁移,任务关系分析（门控权重+梯度冲突）,BSM2G仿真数据,"识别水质/能耗/GHG任务间梯度冲突; 门控热图分析",正/负迁移任务列表，工况依赖性,仅在仿真数据上分析,T042,A
RQ1c: 自监督预训练是否有效,掩码重建预训练（无GHG标签数据）,46厂月度/高频数据（无GHG），BSM2G无标签部分,"预训练 vs 无预训练消融实验; 在下游GHG任务上评估",与无预训练基线相比的性能差异,活动数据部分为真实数据; GHG仍为仿真,T047,A
RQ2a: BSM2G机理先验迁移效果,ASM参数分层冻结策略,BSM2G仿真数据（虚拟厂A→B）,"全冻结/部分冻结/Adapter/完全重校准对比; 零样本/少样本/完全重训","误差-冻结策略-标注量三维对比",仅在虚拟工况间迁移;不代表真实跨厂迁移,T074,A
RQ2b: 负迁移如何控制,合成/真实批次采样权重+适用域检测,BSM2G扩展工况（多虚拟厂）,"不同批次采样权重; 超出训练域样本标识","负迁移诊断指标; 适用域边界",仅在仿真域验证,T050/T073,A
RQ3a: 少样本校准需要多少天标签,BSM2G标签掩蔽+少样本校准,"BSM2G完整标签（隐藏真值）; 保留1/3/7/14天","精度-标注天数曲线（RMSE/覆盖率/峰值召回）",最少X天可达±Y% RMSE和Z%覆盖率,"仅在仿真掩蔽实验中验证; 真实GHG场景另行验证（阶段B）",T068,A
RQ3b: 概率输出质量,分位数回归/Gamma/Hurdle模型对比,"BSM2G仿真GHG标签（部分掩蔽）","CRPS/覆盖率/区间宽度/高排放事件召回率","最优概率模型结构和校准曲线",仅在仿真数据上验证,T067,A
RQ3c: 适用域识别,距离/密度/ensemble不确定性,BSM2G仿真数据（域外测试）,"域内 vs 域外样本的不确定性分布差异",超域样本区间扩大比例，FPR,仿真域外测试,T073,A
RQ1-B（阶段B）: 真实GHG预测精度,OAKI-PL+真实GHG校准,真实N₂O/CH₄通量数据（两厂）,"真实数据验证RMSE/覆盖率/峰值召回","真实场景下性能（阶段A仿真结论的对比）",受监测厂工艺和地区限制,T067/T068,B
RQ2-B（阶段B）: 真实跨厂迁移,OAKI-Transfer，厂级Adapter,两厂真实GHG通量+水质,"A→B零样本; 1/3/7/14天微调; B→A反向","少样本迁移误差-天数曲线（真实条件）","仅对监测工艺/地区/运行条件负责",T070-T075,B
碳核算-活动数据: 46厂间接排放估算精度,FPCM活动数据模型（M3-M6），月度数据,46厂月度能耗/药耗/污泥数据,"与已知厂完整数据对比MAPE; 时间外推验证","间接排放估算±Z%精度（活动数据层）","仅活动数据层; 直接GHG排放未经现场校准",T030/T077,A
碳核算-不确定性: Monte Carlo传播,Monte Carlo（10000次）,BSM2G参数分布+文献排放因子分布+活动数据不确定性,"分项不确定性贡献分解; 总量95%区间","总量95%置信区间±P%; 主控不确定性来源",BSM2G直接排放部分为仿真估算,T079,A
