任务编号,任务名称,工作包,阶段,论文章节,优先级,状态,前置依赖,V2.0修订说明,执行方式,阶段A/B,关键阻塞条件
T001,建立GitHub目录结构,WP0,A-立即,全篇,P0,IN_PROGRESS,无,新增OAKI框架所需目录（src/simulation/src/asm等）,立即执行,A,无
T002,建立研究问题与任务Issue,WP0,A-立即,全篇,P0,待开始,T001,无变化,立即执行,A,无
T003,建立数据字典,WP0,A-立即,全篇,P0,IN_PROGRESS,T001,新增BSM2G变量和OAKI模型变量,立即执行,A,无
T004,建立环境锁定文件,WP0,A-立即,全篇,P0,IN_PROGRESS,T001,新增PyTorch/多任务学习依赖,立即执行,A,无
T005,建立阶段日志模板,WP0,A-立即,全篇,P0,IN_PROGRESS,T001,无变化,立即执行,A,无
T006,建立数据保密与版本策略,WP0,A-立即,全篇,P0,IN_PROGRESS,T001,无变化,立即执行,A,无
T007,定义结果命名规范,WP0,A-立即,全篇,P0,IN_PROGRESS,T001,无变化,立即执行,A,无
T008,建立月度里程碑与发布标签,WP0,A-立即,全篇,P1,待开始,T001-T007,无变化,立即执行,A,无
T009,锁定论文题目与中心问题,WP1,A-立即,第1章,P1,待开始,T003,题目已确认（见V2.0第一节）,参考research_design_v2.md,A,无
T010,完成100篇文献证据矩阵,WP1,A-立即,第1章,P1,待开始,T009,无变化,文献调研,A,无
T011,定义全厂碳核算边界,WP1,A-立即,第1章,P1,待开始,T010,需包含OAKI直接排放部分（N₂O/CH₄）,参考research_design_v2.md,A,无
T012,提出研究假设,WP1,A-立即,第1章,P1,待开始,T009-T011,H1-H6假设需与RQ1-3对应,参考claim_evidence_matrix.csv,A,无
T013,定义OAKI模块与缩写,WP1,A-立即,第2章,P1,待开始,T012,新增OAKI-PL/Transfer/Cal定义,参考research_design_v2.md,A,无
T014,确定论文九章结构,WP1,A-立即,第2章,P1,待开始,T013,已在V2.0中确认,参考research_design_v2.md,A,无
T015,制定统计分析计划,WP1,A-立即,全篇,P1,待开始,T014,无变化,立即执行,A,无
T016,安装并运行BSM2G默认模型,WP2,A-仿真,第3章,P2,BLOCKED,T004,无变化,需MATLAB/Simulink，待用户确认,A,BSM2G许可证+MATLAB
T017,复核厂型和控制与碳边界,WP2,A-仿真,第3章,P2,BLOCKED,T016,无变化,依赖BSM2G运行,A,BSM2G许可证+MATLAB
T018,复现609天动态仿真,WP2,A-仿真,第3章,P2,BLOCKED,T016,无变化,依赖BSM2G运行,A,BSM2G许可证+MATLAB
T019,导出论文16项输入,WP2,A-仿真,第3章,P2,BLOCKED,T018,无变化,依赖BSM2G运行,A,BSM2G许可证+MATLAB
T020,导出6项目标及GHG分项,WP2,A-仿真,第3章,P2,BLOCKED,T018,无变化,依赖BSM2G运行,A,BSM2G许可证+MATLAB
T021,复现滑动窗口样本,WP2,A-仿真,第3章,P2,BLOCKED,T019-T020,无变化,依赖BSM2G运行,A,BSM2G许可证+MATLAB
T022,构建运行工况标签,WP2,A-仿真,第3章,P2,BLOCKED,T021,无变化,依赖BSM2G运行,A,BSM2G许可证+MATLAB
T023,生成扩展操作情景,WP2,A-仿真,第3章,P2,BLOCKED,T017-T022,无变化,依赖BSM2G运行,A,BSM2G许可证+MATLAB
T024,完成仿真数据质量报告,WP2,A-仿真,第3章,P2,BLOCKED,T018-T023,无变化,依赖BSM2G运行,A,BSM2G许可证+MATLAB
T025,发布合成数据集卡,WP2,A-仿真,第3章,P2,BLOCKED,T024,无变化,依赖BSM2G运行,A,BSM2G许可证+MATLAB
T026,整理46厂月度面板,WP3,A-现有数据,第5章,P0,IN_PROGRESS,T003,已有数据（2025.10-2026.06）,立即执行,A,无
T027,建立活动数据完整窗口,WP3,A-现有数据,第5章,P1,待开始,T026,无变化,立即执行,A,无
T028,复核单位和异常记录,WP3,A-现有数据,第5章,P1,待开始,T026,无变化,立即执行,A,无
T029,建立水厂绩效画像,WP3,A-现有数据,第5章,P1,待开始,T026-T028,无变化,立即执行,A,无
T030,复现吨水能耗补全模型,WP3,A-现有数据,第5章,P1,待开始,T027-T029,可复用FPCM M3/M4逻辑,立即执行,A,无
T031,分析新厂外推失败原因,WP3,A-现有数据,第5章,P2,待开始,T030,无变化,立即执行,A,无
T032,确定两座代表性监测厂,WP3,A-现有数据,第5章,P2,待开始,T029-T031,需用户确认候选厂,立即执行,A,用户确认意向监测厂
T033,整理单厂2小时高频数据,WP3,A-现有数据,第4/6章,P1,待开始,T003,需用户提供变量清单,立即执行,A,用户提供数据清单
T034,建立真实数据时间划分,WP3,A-现有数据,第4/6章,P1,待开始,T026-T033,无变化,立即执行,A,无
T035,建立持续性基线,WP4,A-方法主线,第4章,P2,BLOCKED,T021,无变化,依赖BSM2G数据,A,BSM2G数据
T036,建立线性与GAM基线,WP4,A-方法主线,第4章,P2,BLOCKED,T021,无变化,依赖BSM2G数据,A,BSM2G数据
T037,建立树模型基线,WP4,A-方法主线,第4章,P2,BLOCKED,T021,无变化,依赖BSM2G数据,A,BSM2G数据
T038,建立GRU/TCN基线,WP4,A-方法主线,第4章,P2,BLOCKED,T021,无变化,依赖BSM2G数据,A,BSM2G数据
T039,复现AttMMoE框架,WP4,A-方法主线,第4章,P2,BLOCKED,T021,参考Sun et al. 2026原文架构,依赖BSM2G数据,A,BSM2G数据
T040,构建OAKI-Sim核心模型,WP4,A-方法主线,第4章,P2,BLOCKED,T035-T039,无变化,依赖BSM2G数据,A,BSM2G数据
T041,开展模型消融,WP4,A-方法主线,第4章,P2,BLOCKED,T040,无变化,依赖BSM2G数据,A,BSM2G数据
T042,开展任务关系分析,WP4,A-方法主线,第4章,P2,BLOCKED,T040-T041,无变化,依赖BSM2G数据,A,BSM2G数据
T043,开展缺失与噪声鲁棒性,WP4,A-方法主线,第4章,P2,BLOCKED,T040,无变化,依赖BSM2G数据,A,BSM2G数据
T044,形成第4章完整结果包,WP4,A-方法主线,第4章,P2,BLOCKED,T035-T043,无变化,依赖BSM2G数据,A,BSM2G数据
T045,实现部分标签掩码损失,WP5,A-多源融合,第4/5章,P2,BLOCKED,T040/T034,新增：掩蔽比例0/20/40/60/80/90/95%,依赖BSM2G+T033,A,BSM2G数据+高频数据
T046,实现多频率输入编码,WP5,A-多源融合,第4/5章,P2,BLOCKED,T033/T045,无变化,依赖T033,A,高频数据变量清单
T047,开展自监督过程预训练,WP5,A-多源融合,第4/5章,P2,BLOCKED,T046,无变化,依赖T033,A,高频数据
T048,诊断合成-真实分布差异,WP5,A-多源融合,第4/5章,P2,BLOCKED,T025/T033,重要：BSM2G vs 46厂/高频数据分布差异分析,依赖BSM2G+T033,A,BSM2G数据+高频数据
